config,margin,actual_events,hit,false_alarm,abs_err_sum,recall,precision,F1,day_err
3년(2021~23)|기존모델|여름전체,1.0,69,44,41,90.0,0.6376811594202898,0.5176470588235295,0.5714285714285714,2.0454545454545454
3년(2021~23)|기존모델|20℃+,0.75,69,38,25,72.0,0.5507246376811594,0.6031746031746031,0.5757575757575758,1.894736842105263
3년(2021~23)|기존모델|24℃+,0.75,69,40,26,71.0,0.5797101449275363,0.6060606060606061,0.5925925925925926,1.775
3년(2021~23)|기존모델|26℃+,1.0,69,42,33,74.0,0.6086956521739131,0.56,0.5833333333333334,1.7619047619047619
3년(2021~23)|기존+기간평균패턴|여름전체,0.75,69,43,23,83.0,0.6231884057971014,0.6515151515151515,0.6370370370370371,1.930232558139535
3년(2021~23)|기존+기간평균패턴|20℃+,0.75,69,47,22,89.0,0.6811594202898551,0.6811594202898551,0.6811594202898551,1.8936170212765957
3년(2021~23)|기존+기간평균패턴|24℃+,1.0,69,46,40,91.0,0.6666666666666666,0.5348837209302325,0.5935483870967742,1.9782608695652173
3년(2021~23)|기존+기간평균패턴|26℃+,1.5,69,35,44,78.0,0.5072463768115942,0.4430379746835443,0.47297297297297297,2.2285714285714286
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.75,69,37,15,63.0,0.5362318840579711,0.7115384615384616,0.6115702479338843,1.7027027027027026
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,1.0,69,43,26,90.0,0.6231884057971014,0.6231884057971014,0.6231884057971014,2.0930232558139537
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.75,69,37,17,68.0,0.5362318840579711,0.6851851851851852,0.6016260162601627,1.837837837837838
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,1.25,69,40,36,83.0,0.5797101449275363,0.5263157894736842,0.5517241379310345,2.075
장기(2012~23)|기존모델|여름전체,0.75,69,36,24,63.0,0.5217391304347826,0.6,0.5581395348837209,1.75
장기(2012~23)|기존모델|20℃+,1.0,69,41,38,80.0,0.5942028985507246,0.5189873417721519,0.5540540540540541,1.951219512195122
장기(2012~23)|기존모델|24℃+,1.0,69,41,29,82.0,0.5942028985507246,0.5857142857142857,0.5899280575539568,2.0
장기(2012~23)|기존모델|26℃+,1.25,69,46,45,95.0,0.6666666666666666,0.5054945054945055,0.575,2.0652173913043477
장기(2012~23)|기존+기간평균패턴|여름전체,0.75,69,40,22,76.0,0.5797101449275363,0.6451612903225806,0.6106870229007634,1.9
장기(2012~23)|기존+기간평균패턴|20℃+,0.75,69,39,23,74.0,0.5652173913043478,0.6290322580645161,0.5954198473282443,1.8974358974358974
장기(2012~23)|기존+기간평균패턴|24℃+,1.0,69,44,29,89.0,0.6376811594202898,0.6027397260273972,0.6197183098591549,2.022727272727273
장기(2012~23)|기존+기간평균패턴|26℃+,1.0,69,41,26,77.0,0.5942028985507246,0.6119402985074627,0.6029411764705882,1.8780487804878048
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,1.0,69,40,25,86.0,0.5797101449275363,0.6153846153846154,0.5970149253731343,2.15
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.75,69,36,16,61.0,0.5217391304347826,0.6923076923076923,0.5950413223140496,1.6944444444444444
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,1.5,69,48,44,107.0,0.6956521739130435,0.5217391304347826,0.5962732919254659,2.2291666666666665
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,1.25,69,42,34,87.0,0.6086956521739131,0.5526315789473685,0.5793103448275863,2.0714285714285716
